
Accident de la circulation,Accident circulation
Accidente,Accident  
ACCIDENTE ,Accident  
Accidente aéreo,Aircraft Crash
Accidente de tránsito,Car Accident 
Accidente de transporte,Transport Accident
Accidente en el medio náutico,Accident at Sea
Accidente ferroviario,Rail Accident
Accidente fluvial,River Accident
Accidente minero,Mining Accident
ACCIDENTS,Accident  
ACIDENTE,Accident  
ACIDENTE AVIAÇÃO,Aviation Accident
ACIDENTE DE CARRO,Car Accident 
ACIDENTE DE NAVEGAÇÃO,Naval Accident
Actividad Volcánica,Volcanic Activity
Actividad volcánica,Volcanic Activity
Aguaje,Tide
Ahogado,Drowning
AHOGAMIENTO,Drowning
Ahogamiento,Drowning
AKSI TEROR / SABOTASE,Acts of terror/terrorism
AKSIDENTE,Accident
Alud,Avalanche
Aluvión,Alluvium
Aluvión (Huayco),Alluvium (Huayco)
Amenaza de bomba,Bomb Threat
Árbol caído,Fallen Tree
Asit yağmurları,Acid Rains
Aşırı soğuklar,Extreme Cold
ATTAQUE ANIMAL,Animal Attack
ATTAQUE D'ANIMAUX,Animal Attack
AUTRES,Others
AVENIDA,Flood
Avenida torrencial,Torrential Flood
