Cabeza de Agua,Flood
CAÍDA DE ARBOL,Tree Fall
Caída de Arbol,Tree Fall
Cambio línea de costa,Coastal Erosion
Çamur akıntıları,Mud Streams
CANICULE,Heat Wave
Catastrophes industrielles,Industrial Disasters
CHUVAS,Rains
CHUVAS ,Rains
Chuvas Forts C/Ventos Relampag,Heavy Rains with Lightning Winds
CICLON,Cyclone
CICLONE,Cyclone
Çığ,Avalanche
Çökme / Göçük,Crash/Dent
Colapso estructural,Structural Collapse
COLAPSO ESTRUCTURAL,Structural Collapse
CONFLIT FONCIER,Land Dispute
CONFLITO HOMEM FAUNA BRAVIA,Conflict with Fauna
CONFLITU,Flood
Conmoción social,Social Upheaval
Contaminación,Pollution
Corriente de resaca,Rip Currents
CRISE ACRIDIENNE,Locust Crisis
